field_id	title	notes
131333	Source of report of I39 (endocarditis and heart valve disorders in diseases classified elsewhere)	Source of the first code mapped to 3-character ICD10 I39, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to "endocarditis and heart valve disorders in diseases classified elsewhere".<p>See ~R593~ for details of how the first source was assigned.
131334	Date I40 first reported (acute myocarditis)	Date of the first occurrence of any code mapped to 3-character ICD10 I40. The code corresponds to "acute myocarditis". Note that events which were apparently before birth were omitted when constructing this data field.
131335	Source of report of I40 (acute myocarditis)	Source of the first code mapped to 3-character ICD10 I40, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to "acute myocarditis".<p>See ~R593~ for details of how the first source was assigned.
131336	Date I41 first reported (myocarditis in diseases classified elsewhere)	Date of the first occurrence of any code mapped to 3-character ICD10 I41. The code corresponds to "myocarditis in diseases classified elsewhere". Note that events which were apparently before birth were omitted when constructing this data field.
131337	Source of report of I41 (myocarditis in diseases classified elsewhere)	Source of the first code mapped to 3-character ICD10 I41, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to "myocarditis in diseases classified elsewhere".<p>See ~R593~ for details of how the first source was assigned.
131338	Date I42 first reported (cardiomyopathy)	Date of the first occurrence of any code mapped to 3-character ICD10 I42. The code corresponds to "cardiomyopathy". Note that events which were apparently before birth were omitted when constructing this data field.
131339	Source of report of I42 (cardiomyopathy)	Source of the first code mapped to 3-character ICD10 I42, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to "cardiomyopathy".<p>See ~R593~ for details of how the first source was assigned.
131340	Date I43 first reported (cardiomyopathy in diseases classified elsewhere)	Date of the first occurrence of any code mapped to 3-character ICD10 I43. The code corresponds to "cardiomyopathy in diseases classified elsewhere". Note that events which were apparently before birth were omitted when constructing this data field.
131341	Source of report of I43 (cardiomyopathy in diseases classified elsewhere)	Source of the first code mapped to 3-character ICD10 I43, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to "cardiomyopathy in diseases classified elsewhere".<p>See ~R593~ for details of how the first source was assigned.
131342	Date I44 first reported (atrioventricular and left bundle-branch block)	Date of the first occurrence of any code mapped to 3-character ICD10 I44. The code corresponds to "atrioventricular and left bundle-branch block". Note that events which were apparently before birth were omitted when constructing this data field.
131343	Source of report of I44 (atrioventricular and left bundle-branch block)	Source of the first code mapped to 3-character ICD10 I44, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to "atrioventricular and left bundle-branch block".<p>See ~R593~ for details of how the first source was assigned.
